Prob_Chromosome	Prob_Plasmid	Prediction	Contig_name	Contig_length
0.11975465540537711	0.8802453445946229	Plasmid	edge_1	7251
0.680615837707163	0.31938416229283695	Chromosome	edge_2	3809
0.04196285616384632	0.9580371438361537	Plasmid	edge_3	1421964
0.12225314964127532	0.8777468503587247	Plasmid	edge_4	65691
0.9562243661908738	0.04377563380912619	Chromosome	edge_5	7059
0.02203787727011941	0.9779621227298806	Plasmid	edge_6	1759
0.014388692227105149	0.9856113077728949	Plasmid	edge_8	28659
0.008124937073647587	0.9918750629263524	Plasmid	edge_9	29196
0.029809381725257822	0.9701906182747422	Plasmid	edge_10	32155
0.07088187118712064	0.9291181288128794	Plasmid	edge_11	3856
0.07815877858218934	0.9218412214178107	Plasmid	edge_12	8012
0.5520491115147299	0.44795088848527015	Chromosome	edge_13	1537
0.010325888184016918	0.9896741118159831	Plasmid	edge_14	10000
0.06438520506258316	0.9356147949374168	Plasmid	edge_15	168558
0.9856338939638706	0.014366106036129422	Chromosome	edge_16	1464
0.2631661426266916	0.7368338573733084	Plasmid	edge_18	3258
0.08186114217475526	0.9181388578252447	Plasmid	edge_19	6219
0.008648615393729187	0.9913513846062708	Plasmid	edge_20	12402
0.03680169850790971	0.9631983014920903	Plasmid	edge_21	1428858
0.9400276773584719	0.059972322641528075	Chromosome	edge_22	13642
0.05543425109374889	0.9445657489062511	Plasmid	edge_23	3102
0.2697509592054711	0.7302490407945289	Plasmid	edge_24	2500
0.02125999553034108	0.9787400044696589	Plasmid	edge_26	24805
0.032026863667428906	0.9679731363325711	Plasmid	edge_27	31820
0.046874850359398534	0.9531251496406015	Plasmid	edge_28	39183
0.02402295102996843	0.9759770489700316	Plasmid	edge_29	863974
9.494934817656508e-4	0.9990505065182343	Plasmid	edge_30	1600
0.06102534110624602	0.938974658893754	Plasmid	edge_31	1884
0.04993382944940661	0.9500661705505934	Plasmid	edge_32	6887
0.601261440927785	0.39873855907221506	Chromosome	edge_33	2012
0.11380508081108476	0.8861949191889152	Plasmid	edge_34	114755
0.15973554390106048	0.8402644560989395	Plasmid	edge_35	15044
0.5465010695849082	0.4534989304150918	Chromosome	edge_36	4784
0.05310990655724179	0.9468900934427582	Plasmid	edge_37	236423
0.019754927721132964	0.980245072278867	Plasmid	edge_38	6367
0.07936013740318826	0.9206398625968117	Plasmid	edge_39	1463
0.28888744260313937	0.7111125573968606	Plasmid	edge_40	1190
0.6083107578751417	0.39168924212485834	Chromosome	edge_41	3331
0.6514744822604622	0.34852551773953777	Chromosome	edge_42	4074
0.4289723883721014	0.5710276116278986	Plasmid	edge_44	1452
0.20363519321140922	0.7963648067885908	Plasmid	edge_45	3969
0.986729726540516	0.01327027345948395	Chromosome	edge_46	1734
0.9894351088792519	0.010564891120748099	Chromosome	edge_47	1641
0.7779630201386776	0.22203697986132243	Chromosome	edge_48	2156
0.06714658822013786	0.9328534117798621	Plasmid	edge_49	118519
0.5371030591538635	0.4628969408461366	Chromosome	edge_51	3646
0.26901634405499375	0.7309836559450062	Plasmid	edge_52	3051
0.5872504397585974	0.41274956024140264	Chromosome	edge_53	7086
0.3644165915688409	0.6355834084311591	Plasmid	edge_54	10727
0.0629528832844396	0.9370471167155604	Plasmid	edge_55	219169
0.045328303203088116	0.9546716967969119	Plasmid	edge_56	5662
0.8740844406964727	0.12591555930352727	Chromosome	edge_57	3332
0.03234611591674463	0.9676538840832554	Plasmid	edge_58	8279
0.036846498965956154	0.9631535010340438	Plasmid	edge_59	210762
0.3653964756089272	0.6346035243910728	Plasmid	edge_60	8608
0.06169832705082423	0.9383016729491758	Plasmid	edge_61	28454
0.023945555471283853	0.9760544445287161	Plasmid	edge_62	27429
0.04955963734264268	0.9504403626573573	Plasmid	edge_63	510369
0.011425667674756945	0.988574332325243	Plasmid	edge_64	29622
0.05065864560215616	0.9493413543978438	Plasmid	edge_65	355022
0.048403237884715455	0.9515967621152845	Plasmid	edge_66	41242
0.0591031247624898	0.9408968752375102	Plasmid	edge_67	1524
0.21828671906892194	0.7817132809310781	Plasmid	edge_68	1342
0.11310384052746392	0.8868961594725361	Plasmid	edge_69	2902
0.16527015729229722	0.8347298427077028	Plasmid	edge_70	7583
0.02702817071215502	0.972971829287845	Plasmid	edge_71	562352
0.5872378792559616	0.4127621207440384	Chromosome	edge_72	3558
0.037862501506761626	0.9621374984932384	Plasmid	edge_73	63003
0.32383193806133415	0.6761680619386659	Plasmid	edge_74	41372
0.031075473879756177	0.9689245261202438	Plasmid	edge_75	7607
0.35255411315313245	0.6474458868468675	Plasmid	edge_76	2968
0.14817187010394428	0.8518281298960557	Plasmid	edge_77	2526
0.009425649989553198	0.9905743500104468	Plasmid	edge_78	2632
0.5824840832020843	0.41751591679791566	Chromosome	edge_79	6545
0.08905124182545299	0.910948758174547	Plasmid	edge_81	12470
0.050721753279577064	0.9492782467204229	Plasmid	edge_82	187585
0.3136447206010772	0.6863552793989228	Plasmid	edge_83	1189
0.26921831883933267	0.7307816811606673	Plasmid	edge_85	17518
0.3000982771618975	0.6999017228381025	Plasmid	edge_86	3143
0.5838695839497492	0.41613041605025086	Chromosome	edge_87	6385
0.2715408610285087	0.7284591389714913	Plasmid	edge_88	4283
0.8089183417900069	0.19108165820999315	Chromosome	edge_89	11086
0.029430037613432103	0.9705699623865679	Plasmid	edge_90	101053
0.01536814937210118	0.9846318506278988	Plasmid	edge_91	29566
0.975519199001161	0.02448080099883898	Chromosome	edge_92	2094
0.026287870332263763	0.9737121296677362	Plasmid	edge_93	496656
0.9917425892100461	0.0082574107899539	Chromosome	edge_98	1726
0.05306281421076875	0.9469371857892313	Plasmid	edge_99	30654
0.9573837461913033	0.042616253808696714	Chromosome	edge_100	2530
0.04868016461434477	0.9513198353856552	Plasmid	edge_101	563268
