Prob_Chromosome	Prob_Plasmid	Prediction	Contig_name	Contig_length
0.598814525903699	0.40118547409630095	Chromosome	edge_6	86198
0.6549907664700052	0.3450092335299948	Chromosome	edge_7	1348
0.6883023009957945	0.3116976990042055	Chromosome	edge_8	18549
0.619516082831844	0.380483917168156	Chromosome	edge_9	163454
0.8580424288061694	0.14195757119383057	Chromosome	edge_10	7153
0.7717506044848563	0.22824939551514367	Chromosome	edge_11	46547
0.9031799598602012	0.09682004013979885	Chromosome	edge_12	7133
0.6997038742499173	0.3002961257500827	Chromosome	edge_13	249160
0.9462855423826879	0.053714457617312084	Chromosome	edge_15	10977
0.8507065694670055	0.14929343053299451	Chromosome	edge_16	8991
0.2891675207547949	0.7108324792452051	Plasmid	edge_17	9791
0.7004999902167708	0.2995000097832292	Chromosome	edge_18	32407
0.9638474318711172	0.03615256812888279	Chromosome	edge_24	2271
0.21616196589785974	0.7838380341021403	Plasmid	edge_25	2159
0.34843155526340674	0.6515684447365933	Plasmid	edge_26	1325
0.4247463468470176	0.5752536531529824	Plasmid	edge_27	42565
0.1774920215552488	0.8225079784447512	Plasmid	edge_28	14394
0.9630728447683471	0.03692715523165291	Chromosome	edge_34	2093
0.45357463608925475	0.5464253639107453	Plasmid	edge_35	20654
0.3696503744520312	0.6303496255479688	Plasmid	edge_36	8518
0.6338920870915252	0.3661079129084748	Chromosome	edge_37	24540
0.9752072195132916	0.02479278048670841	Chromosome	edge_38	8514
0.2323775726206332	0.7676224273793668	Plasmid	edge_39	55909
0.038446168322776364	0.9615538316772236	Plasmid	edge_40	16894
0.9753376013644935	0.024662398635506455	Chromosome	edge_41	2509
0.1431391571987366	0.8568608428012634	Plasmid	edge_42	4237
0.43887431198680416	0.5611256880131958	Plasmid	edge_43	41328
0.43016040403275535	0.5698395959672446	Plasmid	edge_44	10396
0.7978612625618888	0.20213873743811117	Chromosome	edge_47	2438
0.9860424870471707	0.01395751295282932	Chromosome	edge_48	1030
0.9945035769032262	0.005496423096773784	Chromosome	edge_56	1053
0.021500096068836072	0.9784999039311639	Plasmid	edge_60	2654
0.823058256676326	0.17694174332367396	Chromosome	edge_63	1328
0.21049892123536318	0.7895010787646368	Plasmid	edge_72	2093
0.9968853440180793	0.003114655981920733	Chromosome	edge_81	1134
0.013239931055512355	0.9867600689444876	Plasmid	edge_87	1604
0.068644359362658	0.931355640637342	Plasmid	edge_88	1592
0.034585567194647004	0.965414432805353	Plasmid	edge_90	1487
0.9740309156153097	0.025969084384690255	Chromosome	edge_95	4258
0.8787172859077838	0.12128271409221625	Chromosome	edge_100	2187
0.0012446340353869934	0.998755365964613	Plasmid	edge_102	1549
0.9748672763364576	0.025132723663542356	Chromosome	edge_103	1014
0.00804331728823171	0.9919566827117683	Plasmid	edge_107	2142
0.9877687481039048	0.012231251896095197	Chromosome	edge_110	1280
0.8902827219966329	0.10971727800336706	Chromosome	edge_115	2291
0.9887431258634413	0.011256874136558737	Chromosome	edge_116	2053
0.9980995650979292	0.0019004349020708133	Chromosome	edge_118	1375
0.9996972300612652	3.0276993873479263e-4	Chromosome	edge_124	1141
0.02868521362364229	0.9713147863763577	Plasmid	edge_126	1684
0.9230010848357846	0.07699891516421542	Chromosome	edge_128	2577
0.3917760965659375	0.6082239034340625	Plasmid	edge_138	2822
0.5610420323010179	0.4389579676989821	Chromosome	edge_139	1903
0.9949970016485962	0.005002998351403831	Chromosome	edge_143	1534
0.9617486599943719	0.03825134000562813	Chromosome	edge_145	1999
0.13378860668972992	0.8662113933102701	Plasmid	edge_146	2132
0.5856141104886501	0.41438588951134986	Chromosome	edge_147	2830
0.30915988243625314	0.6908401175637469	Plasmid	edge_149	2425
0.9348591777368693	0.06514082226313067	Chromosome	edge_151	2956
